-93, 686.1655225753784
-88, 687.0173163414001
-92, 687.3019306659698
-89, 688.1542661190033
-91, 688.4371819496155
-85, 688.7197027206421
-98, 689.0018494129181
-82, 690.1315405368805
-93, 690.6981279850006
-96, 691.2658343315125
-94, 691.5508260726929
-101, 691.8336892127991
-95, 692.1135728359222
-96, 694.3766980171204
-93, 694.6608057022095
-97, 694.9468629360199
-93, 695.227215051651
-97, 695.794801235199
-99, 696.3638591766357
-99, 696.6450188159943
-98, 696.9302797317505
-94, 697.4977469444275
-96, 698.3447742462158
-98, 699.1935567855835
-96, 699.4799084663391
-83, 700.0485889911652
-94, 700.333019733429
-97, 701.46892786026
-99, 702.8807802200317
-95, 704.013827085495
-98, 704.2940018177032
-96, 705.994291305542
-93, 706.2746915817261
-91, 707.120450258255
-95, 707.4050731658936
-83, 707.6848208904266
-81, 707.9667770862579
-91, 708.2486319541931
-79, 711.9260413646698
-95, 712.2105317115784
-82, 712.7740869522095
-90, 713.0551431179047
-90, 713.3371515274048
-79, 713.8978140354156
-94, 714.1844935417175
-92, 715.5952455997467
-81, 715.8748109340668
-96, 716.1599390506744
-95, 716.7203643321991
-93, 718.1349942684174
-92, 719.265857219696
-97, 719.5492572784424
-94, 720.109179019928
-87, 720.3895990848541
-88, 720.9583501815796
-91, 723.5083725452423
-89, 724.6336982250214
-78, 725.4791231155396
-89, 725.7619187831879
-91, 726.0428946018219
-79, 726.3245520591736
-94, 726.60906457901
-94, 726.8885977268219
-84, 727.1732890605927
-93, 727.4526250362396
-88, 727.7340698242188
-92, 728.017719745636
-91, 728.5814869403839
-89, 728.86492395401
-92, 729.1491396427155
-90, 729.4335007667542
-89, 729.7205746173859
-88, 730.0036640167236
-79, 730.286806344986
-79, 730.5662670135498
-91, 731.1328926086426
-77, 731.4123706817627
-91, 731.6943323612213
-82, 733.1124160289764
-95, 733.6736626625061
-96, 733.9579691886902
-85, 734.2398386001587
-84, 734.5232129096985
-97, 735.0860819816589
-81, 735.3657073974609
-96, 736.215921163559
-82, 736.4974827766418
-97, 738.1893820762634
-93, 738.4723401069641
-92, 739.0388586521149
-94, 739.3184027671814
-91, 739.8807983398438
-92, 740.1668627262115
-81, 740.4482440948486
-96, 741.2922265529633
-95, 741.5741195678711
-93, 741.8556230068207
-76, 742.1390180587769
-88, 742.4206383228302
-91, 742.7028250694275
-89, 742.9842486381531
-91, 743.2680559158325
-95, 743.8313400745392
